#{"t_start": 1612627554.8002896, "env_id": "Scarecrow-v0"}
r,l,t
-2657.296577,1000,389.252194
-5083.405039,1000,394.146208
-7172.636575,1000,396.094237
-4405.916377,1000,401.014237
-5666.845821,1000,403.008237
-4788.091048,1000,407.999249
-3904.607753,1000,410.053286
-4725.610272,1000,415.100893
-4060,1000,417.110787
-4851.752506,1000,422.15201
-5377.523869,1000,424.155042
-4164.79372,1000,429.08508
-5833.411687,1000,431.03612
-4082.160278,1000,435.963163
-3297.776049,1000,438.092161
-4251.7009,1000,443.036164
-6574.727812,1000,445.266163
-4184.948664,1000,450.468201
-4490,1000,452.622248
-4697.635499,1000,454.618994
-6041.785499,1000,459.538136
-5367.277585,1000,461.481223
-5605.852701,1000,466.543097
-3866.754532,1000,468.560094
-4825.860779,1000,473.675114
-4463.554576,1000,476.117128
-6206.573271,1000,481.078126
-5065.874166,1000,483.060154
-5463.352418,1000,488.014189
-2780,1000,490.00719
-3894.173725,1000,495.15425
-4421.726867,1000,497.218281
-4715.88426,1000,502.194187
-3147.031271,1000,504.355186
-5150.490538,1000,509.483254
-4317.890608,1000,511.44101
-5790,1000,516.326163
-4623.695359,1000,518.315266
-5319.512241,1000,523.354044
-6489.40022,1000,525.375114
-4959.449444,1000,530.384116
-6223.113435,1000,532.301222
-4353.057534,1000,538.120225
-6215.916377,1000,540.176225
-6119.355211,1000,545.140257
-4757.24052,1000,547.184272
-5161.710779,1000,552.028106
-5856.194488,1000,554.083107
-3301.830705,1000,559.119124
-6570,1000,561.094143
-2773.099444,1000,566.814139
-4094.481039,1000,569.091158
-4164.578427,1000,574.156193
-3565.852701,1000,576.415369
-2908.846615,1000,581.50396
-3675.892749,1000,583.491037
-5473.42884,1000,588.802072
-5994.663816,1000,590.858218
-7020,1000,596.112106
-5780,1000,598.117161
-5900.325653,1000,603.138191
-5472.071226,1000,605.092208
-5757.296577,1000,607.057205
-6191.719712,1000,611.933235
-4510,1000,614.013234
-3299.004452,1000,618.837805
-3123.083333,1000,621.040168
-3205.818467,1000,626.373546
-5593.22245,1000,628.489144
-5140.505528,1000,633.616161
-5397.296577,1000,635.66921
-4245.860779,1000,640.708156
-4057.235134,1000,642.745158
-4609.214534,1000,647.695266
-5291.603883,1000,649.993277
-4266.172968,1000,655.72221
-3675.191495,1000,657.757245
-6250.793516,1000,662.733241
-4370.355206,1000,664.903242
-4239.047332,1000,669.969158
-2157.566173,1000,672.215802
-4765.916377,1000,677.229574
-5246.016111,1000,679.228274
-5360.328354,1000,684.279104
-4630.341819,1000,686.445171
-3498.948614,1000,691.479186
-3573.09322,1000,693.666224
-2809.004211,1000,698.83122
-3653.232315,1000,700.858238
-3663.565436,1000,706.058283
-3843.17821,1000,708.169063
-5421.75,1000,713.326273
-5798.947706,1000,715.608153
-4653.218524,1000,720.736628
-4750.414665,1000,722.815162
-5086.307655,1000,727.9552
-5393.288575,1000,729.961199
-3811.710779,1000,735.018236
-4223.308208,1000,737.073235
-6210,1000,742.0682
-3783.165821,1000,744.473219
-4215.916377,1000,749.733217
-6035.567966,1000,751.739219
-4960,1000,756.682218
-5395.853007,1000,758.70522
-4189.575669,1000,760.848218
-4265.366667,1000,765.891219
-3220,1000,767.977235
-5273.101299,1000,773.026422
-4076.222033,1000,775.198244
-4508.938735,1000,780.421245
-5956.015564,1000,782.369417
-4593.189326,1000,787.382845
-3126.656383,1000,789.48872
-3695.506495,1000,794.586472
-6245.865242,1000,796.638126
-3194.468467,1000,801.590112
-5360,1000,803.481768
-3355.259788,1000,809.127169
-6347.277585,1000,811.109171
-4531.7,1000,816.230205
-3279.110338,1000,818.468206
-5153.465277,1000,823.518206
-6353.178198,1000,825.451205
-3535.85,1000,830.910131
-5552.145167,1000,832.95413
-5678.800613,1000,838.256166
-4067.899913,1000,840.345163
-3864.475653,1000,845.508086
-4729.040228,1000,847.474115
-4113.087835,1000,852.325114
-5361.721559,1000,854.406136
-3853.254683,1000,859.473194
-3726.149005,1000,862.436256
-4574.496967,1000,870.714257
-5030,1000,873.882256
-5295.85,1000,880.019192
