#{"t_start": 1612627554.8002896, "env_id": "Scarecrow-v0"}
r,l,t
-5211.7,1000,3412.492828
-5943.4,1000,3419.266822
-4095.85,1000,3421.327827
-4102.983333,1000,3427.759837
-4664.783333,1000,3429.813854
-4530,1000,3436.310952
-6728.933333,1000,3438.355956
-5385.85,1000,3445.098619
-3861.7,1000,3447.295616
-6917.55,1000,3453.686025
-2762.016667,1000,3455.764218
-4671.7,1000,3462.377297
-5293.083333,1000,3464.375267
-4671.7,1000,3471.223805
-4125.85,1000,3473.202804
-4858.933333,1000,3480.157366
-4283.083333,1000,3482.180963
-3617.233333,1000,3489.018962
-5137.233333,1000,3490.992979
-4417.235134,1000,3497.625073
-5866.483333,1000,3499.856073
-4500.25,1000,3506.956071
-4748.616667,1000,3508.975092
-3165.85,1000,3515.787108
-4723.083333,1000,3517.825109
-5381.7,1000,3524.583107
-3781.7,1000,3526.62412
-7027.233333,1000,3533.624505
-5070,1000,3536.039506
-6680,1000,3545.389009
-4598.936034,1000,3548.701535
-4750,1000,3561.567537
-4125.85,1000,3565.944185
-3598.916667,1000,3576.398787
-4107.55,1000,3579.179787
-5140,1000,3588.529837
-6221.35,1000,3591.446872
-4932.783333,1000,3601.328483
-4653.083333,1000,3604.217486
-4711.0,1000,3613.698485
-1647.233333,1000,3616.59748
-4658.933333,1000,3628.019482
-5127.55,1000,3631.132483
-1635.85,1000,3634.138482
-5515.85,1000,3644.009483
-6427.233333,1000,3648.930483
-6884.466667,1000,3661.825732
-4151.7,1000,3666.442731
-4493.4,1000,3675.72073
-4935.233333,1000,3678.173729
-4491.7,1000,3687.149731
-3464.466667,1000,3689.681731
-5114.783333,1000,3697.886731
-4663.083333,1000,3700.32374
-4398.933333,1000,3708.583731
-4714.466667,1000,3710.96573
-4248.933333,1000,3719.915732
-3257.233333,1000,3722.388731
-5341.95,1000,3730.622732
-4267.233333,1000,3733.050729
-4210.316667,1000,3741.328731
-3511.7,1000,3743.703731
-4178.933333,1000,3752.50273
-5000.319367,1000,3754.81873
-2549.05,1000,3763.211728
-881.7,1000,3765.908731
-3993.083333,1000,3774.700731
-3723.083333,1000,3777.364729
-4885.85,1000,3785.993338
-4080,1000,3788.376337
-3541.7,1000,3796.939338
-4541.7,1000,3799.314338
-2792.15,1000,3808.256865
-4378.933333,1000,3810.614866
-5743.083333,1000,3818.954866
-4530.633333,1000,3821.258865
-4110,1000,3829.839863
-3791.7,1000,3832.103866
-6494.783333,1000,3840.904864
-3775.85,1000,3843.389864
-3818.933333,1000,3852.016864
-5070.766667,1000,3854.346864
-5240.316667,1000,3862.871864
-4934.466667,1000,3865.750866
-3955.85,1000,3874.646908
-3995.85,1000,3877.248909
-4634.783333,1000,3879.973434
-3228.935134,1000,3891.187852
-5491.7,1000,3893.582855
-4509.033333,1000,3902.792898
-3350,1000,3905.311376
-6674.033333,1000,3914.632637
-3250.75,1000,3917.363642
-4080.05,1000,3926.40064
-5495.85,1000,3928.797639
-5001.7,1000,3937.37964
-4527.55,1000,3939.711221
-4177.233333,1000,3948.297219
-4140,1000,3950.909218
-3603.086034,1000,3959.75522
-2020,1000,3962.40922
-6708.933333,1000,3970.935222
-3673.3,1000,3973.295218
-4945.85,1000,3981.848217
-5825.85,1000,3984.217218
